V1,V2,V3,start,duration,V6,V7,tier,V9,V10,end,id,source
SPEAKER,MPILab_0001_258640_01_S_Audio,1,175.92,0.618,<NA>,<NA>,SPEECH,<NA>,<NA>,176.53799999999998,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,177.064,3.257,<NA>,<NA>,SPEECH,<NA>,<NA>,180.321,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,177.069,3.257,<NA>,<NA>,FEM,<NA>,<NA>,180.326,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,181.07,2.19,<NA>,<NA>,SPEECH,<NA>,<NA>,183.26,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,181.076,0.759,<NA>,<NA>,FEM,<NA>,<NA>,181.83499999999998,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,181.918,1.075,<NA>,<NA>,KCHI,<NA>,<NA>,182.993,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,182.923,0.221,<NA>,<NA>,FEM,<NA>,<NA>,183.144,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,183.992,1.684,<NA>,<NA>,KCHI,<NA>,<NA>,185.676,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,183.992,1.86,<NA>,<NA>,SPEECH,<NA>,<NA>,185.852,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,185.434,0.278,<NA>,<NA>,FEM,<NA>,<NA>,185.712,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,186.202,1.461,<NA>,<NA>,FEM,<NA>,<NA>,187.663,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,186.207,1.455,<NA>,<NA>,SPEECH,<NA>,<NA>,187.662,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,190.196,1.296,<NA>,<NA>,SPEECH,<NA>,<NA>,191.492,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,190.272,0.992,<NA>,<NA>,FEM,<NA>,<NA>,191.26399999999998,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,192.527,1.309,<NA>,<NA>,SPEECH,<NA>,<NA>,193.83599999999998,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,192.714,0.116,<NA>,<NA>,MAL,<NA>,<NA>,192.83,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,192.967,0.547,<NA>,<NA>,MAL,<NA>,<NA>,193.514,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,193.492,0.304,<NA>,<NA>,FEM,<NA>,<NA>,193.796,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,194.398,2.28,<NA>,<NA>,SPEECH,<NA>,<NA>,196.678,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,194.434,2.229,<NA>,<NA>,KCHI,<NA>,<NA>,196.663,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,194.511,0.233,<NA>,<NA>,FEM,<NA>,<NA>,194.744,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,197.546,3.77,<NA>,<NA>,SPEECH,<NA>,<NA>,201.316,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,197.556,1.001,<NA>,<NA>,FEM,<NA>,<NA>,198.55700000000002,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,198.723,1.207,<NA>,<NA>,KCHI,<NA>,<NA>,199.93,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,200.171,0.273,<NA>,<NA>,KCHI,<NA>,<NA>,200.444,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,200.426,0.854,<NA>,<NA>,FEM,<NA>,<NA>,201.28,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,202.487,0.43,<NA>,<NA>,SPEECH,<NA>,<NA>,202.917,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,202.62,0.187,<NA>,<NA>,CHI,<NA>,<NA>,202.80700000000002,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,205.05,1.693,<NA>,<NA>,SPEECH,<NA>,<NA>,206.74300000000002,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,205.153,0.339,<NA>,<NA>,FEM,<NA>,<NA>,205.492,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,205.586,1.134,<NA>,<NA>,KCHI,<NA>,<NA>,206.72,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,207.309,0.54,<NA>,<NA>,FEM,<NA>,<NA>,207.849,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,207.316,0.589,<NA>,<NA>,SPEECH,<NA>,<NA>,207.905,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,209.059,4.335,<NA>,<NA>,SPEECH,<NA>,<NA>,213.394,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,209.161,2.764,<NA>,<NA>,KCHI,<NA>,<NA>,211.925,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,209.469,0.523,<NA>,<NA>,CHI,<NA>,<NA>,209.992,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,210.141,0.206,<NA>,<NA>,CHI,<NA>,<NA>,210.34699999999998,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,211.987,1.416,<NA>,<NA>,FEM,<NA>,<NA>,213.403,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,214.65,4.688,<NA>,<NA>,FEM,<NA>,<NA>,219.338,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,214.65,7.077,<NA>,<NA>,SPEECH,<NA>,<NA>,221.727,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,216.447,0.545,<NA>,<NA>,CHI,<NA>,<NA>,216.992,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,217.267,0.292,<NA>,<NA>,CHI,<NA>,<NA>,217.559,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,219.011,1.851,<NA>,<NA>,CHI,<NA>,<NA>,220.862,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,219.259,1.004,<NA>,<NA>,KCHI,<NA>,<NA>,220.26299999999998,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,220.226,0.56,<NA>,<NA>,FEM,<NA>,<NA>,220.786,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,220.781,0.842,<NA>,<NA>,KCHI,<NA>,<NA>,221.62300000000002,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,221.873,2.428,<NA>,<NA>,SPEECH,<NA>,<NA>,224.301,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,221.964,0.299,<NA>,<NA>,KCHI,<NA>,<NA>,222.263,258640,Audio
